code,venue_count,categories,in_ap_continent,in_base_prices,in_airport_city,continent,city
GVA,99,"climbing,hiking,kayak,mtb,paraglide,skiing",YES,NO,NO,europe,MISSING
DPS,57,"diving,hiking,kayak,kite,mtb,paraglide,surfing,tanning",YES,NO,YES,asia,Denpasar
SLC,42,"climbing,hiking,mtb,paraglide,skiing",YES,NO,YES,na,Salt Lake City
ZRH,42,"climbing,mtb,paraglide,skiing",YES,NO,NO,europe,MISSING
DEN,42,"climbing,hiking,mtb,paraglide,skiing",YES,YES,YES,na,Denver
INN,36,"climbing,mtb,paraglide,skiing",YES,NO,NO,europe,MISSING
CPT,35,"climbing,diving,fishing,kayak,kite,mtb,paraglide,surfing,tanning",YES,NO,YES,africa,Cape Town
HNL,34,"diving,hiking,kite,mtb,paraglide,surfing,tanning",YES,NO,YES,na,Honolulu
LIS,32,"diving,kite,mtb,paraglide,surfing,tanning",YES,NO,YES,europe,Lisbon
BTV,29,"climbing,hiking,mtb,skiing",YES,NO,YES,na,Burlington
MLE,29,"diving,fishing,kayak,surfing,tanning",YES,NO,YES,oceania,Malé
SAN,26,"diving,kayak,paraglide,surfing,tanning",YES,NO,YES,na,San Diego
BIQ,26,surfing,YES,NO,YES,europe,Biarritz
AGA,26,"climbing,kite,surfing",YES,NO,YES,africa,Agadir
NAN,26,"fishing,paraglide,surfing,tanning",YES,NO,YES,oceania,Nadi
VRN,26,"climbing,hiking,kite,mtb,paraglide,skiing",NO,NO,NO,MISSING,MISSING
SCL,25,"mtb,paraglide,skiing,surfing",YES,NO,YES,latam,Santiago
ZQN,24,"fishing,hiking,kayak,kite,mtb,paraglide,skiing",YES,NO,NO,oceania,MISSING
YYC,24,"climbing,mtb,skiing",YES,NO,YES,na,Calgary
RNO,24,"kayak,kite,mtb,paraglide,skiing",YES,NO,YES,na,Reno
BCN,24,"climbing,fishing,kite,mtb,paraglide,skiing,tanning",NO,NO,NO,MISSING,MISSING
SZG,23,"hiking,mtb,paraglide,skiing",YES,NO,NO,europe,MISSING
INV,23,"climbing,fishing,hiking,kayak,mtb,skiing,surfing",YES,NO,YES,europe,Inverness
CUN,23,"diving,fishing,kite,tanning",YES,NO,NO,na,MISSING
SPU,23,"climbing,diving,fishing,kayak,paraglide,tanning",YES,NO,NO,europe,MISSING
CMB,23,"diving,kite,paraglide,surfing,tanning",NO,NO,YES,MISSING,Colombo
CTS,22,"fishing,mtb,skiing",YES,NO,NO,asia,MISSING
LOP,22,"diving,hiking,kayak,kite,paraglide,surfing,tanning",YES,NO,YES,asia,Lombok
OSL,22,"hiking,kayak,mtb,skiing",NO,NO,NO,MISSING,MISSING
OGG,21,"diving,hiking,kayak,kite,mtb,paraglide,surfing,tanning",YES,NO,YES,na,Maui
SJO,21,"diving,fishing,kite,mtb,paraglide,surfing,tanning",YES,NO,YES,na,San José
MEL,21,"climbing,paraglide,skiing,surfing,tanning",YES,NO,YES,oceania,Melbourne
HKT,20,"climbing,diving,fishing,kayak,kite,paraglide,surfing,tanning",YES,NO,NO,asia,MISSING
SYD,20,"climbing,hiking,kayak,kite,mtb,paraglide,skiing,surfing",YES,NO,NO,oceania,MISSING
MRU,19,"diving,fishing,kite,paraglide,surfing,tanning",YES,NO,YES,africa,Mauritius
LAX,18,"climbing,kayak,skiing,surfing,tanning",YES,YES,YES,na,Los Angeles
BGI,18,"diving,fishing,kite,surfing,tanning",YES,NO,YES,na,Bridgetown
KBV,18,"climbing,diving,kayak,tanning",YES,NO,NO,asia,MISSING
GNB,17,"hiking,mtb,skiing",YES,NO,NO,europe,MISSING
TRN,17,"hiking,mtb,paraglide,skiing",YES,NO,NO,europe,MISSING
LIH,17,"diving,hiking,kayak,kite,mtb,surfing,tanning",YES,NO,YES,na,Lihue
NGO,17,"hiking,mtb,paraglide,skiing",NO,NO,NO,MISSING,MISSING
MHT,16,"climbing,mtb,skiing",YES,NO,YES,na,Manchester
SEA,16,"climbing,diving,fishing,hiking,kayak,kite,paraglide,skiing",YES,YES,YES,na,Seattle
SJD,16,"diving,fishing,kayak,kite,surfing,tanning",YES,NO,NO,na,MISSING
DLM,16,"diving,hiking,kite,paraglide,tanning",NO,NO,NO,MISSING,MISSING
MRS,16,"climbing,diving,kite,paraglide",NO,NO,NO,MISSING,MISSING
SFO,15,"climbing,hiking,mtb,surfing",YES,YES,YES,na,San Francisco
OOL,15,surfing,YES,NO,YES,oceania,Gold Coast
SEZ,15,"diving,fishing,kayak,paraglide,tanning",YES,NO,NO,africa,MISSING
USM,15,"diving,surfing,tanning",YES,NO,NO,asia,MISSING
LIR,14,"diving,kayak,kite,surfing,tanning",YES,NO,YES,na,Liberia
BIO,14,"hiking,mtb,surfing",YES,NO,YES,europe,Bilbao
FAO,14,"fishing,kayak,mtb,surfing,tanning",YES,NO,YES,europe,Faro
JMK,14,"climbing,kayak,tanning",YES,NO,NO,europe,MISSING
HRG,14,"diving,fishing,kite,tanning",NO,NO,NO,MISSING,MISSING
MAN,14,"climbing,fishing,hiking,mtb,paraglide",YES,NO,YES,europe,Manchester
GIG,14,"climbing,fishing,paraglide,surfing,tanning",NO,NO,YES,MISSING,Rio de Janeiro
YVR,13,"climbing,fishing,mtb,skiing",YES,NO,YES,na,Vancouver
PDX,13,"climbing,hiking,kite,mtb,paraglide,skiing,tanning",YES,NO,YES,na,Portland
SAL,13,"mtb,surfing,tanning",YES,NO,YES,na,San Salvador
LIM,13,"diving,hiking,mtb,paraglide,surfing",YES,NO,YES,latam,Lima
NQY,13,"hiking,surfing",YES,NO,YES,europe,Newquay
FUE,13,"kite,surfing",YES,NO,YES,europe,Fuerteventura
PDG,13,surfing,YES,NO,YES,asia,Padang
ZNZ,13,"fishing,kayak,kite,surfing,tanning",YES,NO,NO,africa,MISSING
FOR,13,"kite,surfing,tanning",NO,NO,YES,MISSING,Fortaleza
NRT,12,"climbing,hiking,paraglide,skiing,surfing",YES,NO,YES,asia,Tokyo Narita
CBR,12,"climbing,hiking,mtb,skiing,tanning",YES,NO,NO,oceania,MISSING
PMI,12,"kite,mtb,tanning",NO,NO,NO,MISSING,MISSING
SBA,12,"climbing,diving,mtb,surfing",NO,NO,YES,MISSING,Santa Barbara
MNL,12,"diving,fishing,hiking,paraglide,surfing",NO,NO,NO,MISSING,MISSING
CWL,12,"climbing,diving,hiking,kayak,mtb,paraglide",YES,NO,YES,europe,Cardiff
CNS,11,"diving,fishing,kayak,mtb,tanning",YES,NO,NO,oceania,MISSING
EGE,11,"mtb,skiing",YES,NO,NO,na,MISSING
FLN,11,"paraglide,surfing,tanning",YES,NO,YES,latam,Florianópolis
ACE,11,"diving,kayak,kite,mtb,paraglide,surfing,tanning",YES,NO,YES,europe,Lanzarote
BGO,11,"climbing,hiking,kayak,mtb,paraglide,skiing",NO,NO,NO,MISSING,MISSING
SNA,11,"surfing,tanning",NO,NO,YES,MISSING,Santa Ana
DUR,11,"diving,hiking,paraglide,surfing",NO,NO,YES,MISSING,Durban
SSH,11,"diving,kayak,kite,tanning",NO,NO,NO,MISSING,MISSING
YLW,10,"fishing,mtb,skiing",YES,NO,NO,na,MISSING
SJU,10,"fishing,kite,paraglide,surfing,tanning",YES,NO,YES,na,San Juan
PLS,10,"diving,fishing,kayak,kite,tanning",YES,NO,NO,na,MISSING
MBA,10,"diving,kite,surfing,tanning",YES,NO,NO,africa,MISSING
MPH,10,tanning,YES,NO,NO,asia,MISSING
MUC,10,"climbing,hiking,mtb,paraglide,skiing",NO,NO,NO,MISSING,MISSING
CHC,10,"climbing,mtb,skiing,surfing",NO,NO,NO,MISSING,MISSING
ZAZ,10,"climbing,mtb,skiing",NO,NO,NO,MISSING,MISSING
ANU,10,tanning,NO,NO,NO,MISSING,MISSING
YEG,10,skiing,NO,NO,YES,MISSING,Edmonton
PPT,9,"fishing,surfing,tanning",YES,NO,YES,oceania,Papeete
JAC,9,"fishing,hiking,mtb,paraglide,skiing",YES,NO,YES,na,Jackson Hole
ORF,9,"kite,surfing,tanning",YES,NO,YES,na,Norfolk
SNN,9,"climbing,kayak,surfing",YES,NO,YES,europe,Shannon
AUA,9,"diving,kite,tanning",YES,NO,NO,na,MISSING
TPA,9,"diving,fishing,kite,tanning",YES,NO,YES,na,Tampa
MIA,9,"diving,fishing,kite,tanning",YES,YES,YES,na,Miami
KOA,9,"diving,fishing,kayak,paraglide,surfing,tanning",YES,NO,NO,na,MISSING
IBZ,9,tanning,YES,NO,NO,europe,MISSING
BGY,9,"hiking,mtb,skiing",NO,NO,NO,MISSING,MISSING
SJC,9,"hiking,paraglide,surfing",NO,NO,YES,MISSING,San Jose
PXM,9,"surfing,tanning",NO,NO,NO,MISSING,MISSING
TRU,9,surfing,NO,NO,YES,MISSING,Trujillo
TRV,9,"kite,surfing",NO,NO,NO,MISSING,MISSING
RHO,9,"kite,paraglide,tanning",NO,NO,NO,MISSING,MISSING
